names,scores,logfoldchanges,pvals,pvals_adj
LCORL,18.258404,0.35746875,1.7740114209383685e-74,1.647984568978813e-72
HIF1A,18.248028,0.28358424,2.145133155083517e-74,1.987696673650932e-72
CHST15,18.223381,0.53574663,3.3669741875610898e-74,3.1119854100738246e-72
NRIP1,18.20282,0.36406586,4.9018381665397125e-74,4.5191984567637286e-72
ZFAND5,18.193228,0.41305014,5.8396621577487304e-74,5.364731841049554e-72
ANKFY1,18.193148,0.5366257,5.848277381980745e-74,5.364731841049554e-72
GPD2,18.141327,0.5060872,1.5035732140661912e-73,1.3758070802009165e-71
DIAPH1,18.140154,0.2985669,1.5360315988020567e-73,1.402002307924042e-71
RXRA,18.094002,0.66637737,3.5532749306975966e-73,3.2351595954841475e-71
NACC2,18.034388,0.6239661,1.0464862551797905e-72,9.504328393507571e-71
INPP4A,17.97477,0.3132815,3.0713488188967246e-72,2.7825355970405697e-70
UBE2R2,17.91441,0.32268718,9.102873365106757e-72,8.226525136698085e-70
FLVCR2,17.73718,0.6751224,2.1653181162846357e-70,1.942470793483675e-68
